,Sivir,Ezreal,Kai'Sa,Xayah,Lucian,Caitlyn,Draven,Vayne,Jhin,Jinx,Win_rate
Caitlyn,0.06775956284153005,0.08191925102399064,0.06679035250463822,0.057929724596391265,0.04806565064478312,0.0,0.1007905138339921,0.05747126436781609,0.11704834605597965,0.08174386920980926,0.48313090418353577
Draven,0.048087431693989074,0.049151550614394385,0.047619047619047616,0.04083570750237417,0.03399765533411489,0.06882591093117409,0.0,0.03218390804597701,0.04834605597964377,0.03814713896457766,0.5118577075098815
Ezreal,0.18524590163934426,0.0,0.19666048237476808,0.16904083570750236,0.18405627198124266,0.18893387314439947,0.16600790513833993,0.135632183908046,0.15012722646310434,0.16348773841961853,0.507899356348742
Jhin,0.030601092896174863,0.03452311293153891,0.039579468150896725,0.029439696106362774,0.035169988276670575,0.0620782726045884,0.037549407114624504,0.04367816091954023,0.0,0.027247956403269755,0.5063613231552163
Jinx,0.04371584699453552,0.03510825043885313,0.029684601113172542,0.04083570750237417,0.035169988276670575,0.04048582995951417,0.02766798418972332,0.01839080459770115,0.02544529262086514,0.0,0.5231607629427792
Kai'Sa,0.16721311475409836,0.1860737273259216,0.0,0.1728395061728395,0.17936694021101993,0.145748987854251,0.15217391304347827,0.19310344827586207,0.1628498727735369,0.1307901907356948,0.47557204700061845
Lucian,0.09508196721311475,0.09186658864833236,0.09461966604823747,0.08547008547008547,0.0,0.0553306342780027,0.05731225296442688,0.0735632183908046,0.07633587786259542,0.08174386920980926,0.5087924970691676
Tristana,0.025136612021857924,0.024575775307197192,0.03339517625231911,0.03323836657169991,0.01875732708089097,0.0,0.021739130434782608,0.04367816091954023,0.03307888040712468,0.021798365122615803,0.47330960854092524
Vayne,0.05683060109289618,0.03452311293153891,0.05194805194805195,0.03513770180436847,0.03751465416178194,0.033738191632928474,0.02766798418972332,0.0,0.04834605597964377,0.021798365122615803,0.5287356321839081
Xayah,0.11202185792349727,0.10415447630193095,0.11255411255411256,0.0,0.10550996483001172,0.08232118758434548,0.08498023715415019,0.08505747126436781,0.07888040712468193,0.11716621253405994,0.5175688509021842
Sivir,0.0,0.19836161497952018,0.18923933209647495,0.19468186134852802,0.20398593200468934,0.16734143049932523,0.17391304347826086,0.23908045977011494,0.14249363867684478,0.21798365122615804,0.48360655737704916
Ashe,0.0,0.0,0.0,0.0,0.0,0.029689608636977057,0.0,0.0,0.0,0.0,0.5743243243243243
