,Lee Sin,Sejuani,Elise,Kayn,Rek'Sai,Hecarim,Gragas,Jarvan IV,Kha'Zix,Taliyah,Win_rate
Elise,0.08917748917748917,0.06611570247933884,0.0,0.07087827426810478,0.07484076433121019,0.07894736842105263,0.07072691552062868,0.0737527114967462,0.06607929515418502,0.059770114942528735,0.5225102319236017
Gragas,0.05800865800865801,0.0371900826446281,0.04911323328785812,0.046224961479198766,0.06210191082802548,0.03684210526315789,0.0,0.0368763557483731,0.039647577092511016,0.06666666666666667,0.5147347740667977
Jarvan IV,0.05108225108225108,0.04442148760330578,0.04638472032742155,0.04160246533127889,0.044585987261146494,0.06666666666666667,0.0,0.0,0.05947136563876652,0.041379310344827586,0.48590021691973967
Kayn,0.05541125541125541,0.08884297520661157,0.06275579809004093,0.0,0.0589171974522293,0.056140350877192984,0.05893909626719057,0.05856832971800434,0.05947136563876652,0.0735632183908046,0.5454545454545454
Kha'Zix,0.05541125541125541,0.0,0.040927694406548434,0.04160246533127889,0.03662420382165605,0.043859649122807015,0.03536345776031434,0.05856832971800434,0.0,0.0,0.4779735682819383
Kindred,0.050216450216450215,0.03925619834710744,0.040927694406548434,0.0,0.0,0.0,0.03929273084479371,0.03470715835140998,0.03524229074889868,0.0,0.4964200477326969
Olaf,0.05627705627705628,0.056818181818181816,0.04365620736698499,0.0,0.044585987261146494,0.0,0.0550098231827112,0.0,0.0,0.041379310344827586,0.5035294117647059
Rek'Sai,0.070995670995671,0.060950413223140494,0.06412005457025921,0.05701078582434515,0.0,0.05263157894736842,0.07662082514734773,0.06073752711496746,0.05066079295154185,0.0735632183908046,0.5111464968152867
Sejuani,0.09696969696969697,0.0,0.08731241473396999,0.1325115562403698,0.09394904458598727,0.07192982456140351,0.07072691552062868,0.09327548806941431,0.06828193832599119,0.08735632183908046,0.5216942148760331
Xin Zhao,0.048484848484848485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4608433734939759
Hecarim,0.0,0.042355371900826444,0.061391541609822645,0.04930662557781202,0.04777070063694268,0.0,0.0412573673870334,0.0824295010845987,0.05506607929515418,0.04597701149425287,0.5263157894736842
Lee Sin,0.0,0.11570247933884298,0.14051841746248295,0.09861325115562404,0.1305732484076433,0.07192982456140351,0.13163064833005894,0.1279826464208243,0.14096916299559473,0.10804597701149425,0.48398268398268396
Taliyah,0.0,0.03925619834710744,0.0,0.04930662557781202,0.050955414012738856,0.0,0.05697445972495088,0.039045553145336226,0.037444933920704845,0.0,0.5011494252873563
Karthus,0.0,0.0,0.0,0.03697996918335902,0.0,0.0456140350877193,0.0,0.0,0.0,0.052873563218390804,0.4619718309859155
Evelynn,0.0,0.0,0.0,0.0,0.0,0.03859649122807018,0.0,0.0,0.0,0.0,0.493006993006993
