,Lee Sin,Sejuani,Elise,Kayn,Rek'Sai,Hecarim,Gragas,Jarvan IV,Kha'Zix,Taliyah
Elise,0.5145631067961165,0.46875,0.0,0.4782608695652174,0.5106382978723404,0.5777777777777777,0.4166666666666667,0.6176470588235294,0.8333333333333334,0.2692307692307692
Gragas,0.5074626865671642,0.5,0.5833333333333334,0.4,0.46153846153846156,0.42857142857142855,0.0,0.5294117647058824,0.5,0.5862068965517241
Jarvan IV,0.5084745762711864,0.4418604651162791,0.38235294117647056,0.4444444444444444,0.32142857142857145,0.5263157894736842,0.47058823529411764,0.0,0.6296296296296297,0.5
Kayn,0.515625,0.5116279069767442,0.5217391304347826,0.0,0.5135135135135135,0.5,0.6,0.5555555555555556,0.7037037037037037,0.5625
Kha'Zix,0.484375,0.5483870967741935,0.16666666666666666,0.2962962962962963,0.5217391304347826,0.44,0.5,0.37037037037037035,0.0,0.6470588235294118
Kindred,0.5689655172413793,0.47368421052631576,0.43333333333333335,0.3888888888888889,0.4,0.47368421052631576,0.4,0.3125,0.4375,0.45454545454545453
Olaf,0.5230769230769231,0.509090909090909,0.40625,0.6363636363636364,0.5357142857142857,0.3076923076923077,0.5,0.5,0.5454545454545454,0.3888888888888889
Rek'Sai,0.5975609756097561,0.3559322033898305,0.48936170212765956,0.4864864864864865,0.0,0.43333333333333335,0.5384615384615384,0.6785714285714286,0.4782608695652174,0.5
Sejuani,0.5357142857142857,0.0,0.53125,0.4883720930232558,0.6440677966101694,0.5853658536585366,0.5,0.5581395348837209,0.45161290322580644,0.42105263157894735
Xin Zhao,0.5357142857142857,0.391304347826087,0.46153846153846156,0.4,0.38095238095238093,0.2857142857142857,0.8181818181818182,0.3076923076923077,0.5,0.5882352941176471
Hecarim,0.5853658536585366,0.4146341463414634,0.4222222222222222,0.5,0.5666666666666667,0.0,0.5714285714285714,0.47368421052631576,0.56,0.6
Lee Sin,0.0,0.4642857142857143,0.4854368932038835,0.484375,0.4024390243902439,0.4146341463414634,0.4925373134328358,0.4915254237288136,0.515625,0.5106382978723404
Taliyah,0.48936170212765956,0.5789473684210527,0.7307692307692307,0.4375,0.5,0.4,0.41379310344827586,0.5,0.35294117647058826,0.0
Karthus,0.42857142857142855,0.30303030303030304,0.5,0.4583333333333333,0.5,0.34615384615384615,0.4,0.2,0.5833333333333334,0.6086956521739131
Evelynn,0.6666666666666666,0.6521739130434783,0.7272727272727273,0.5333333333333333,0.36363636363636365,0.2727272727272727,0.46153846153846156,0.2727272727272727,0.5833333333333334,0.42857142857142855
