,Lux,Karma,Yuumi,Thresh,Pyke,Nautilus,Rakan,Morgana,Nami,Janna,Win_rate
Janna,0.044626021370207415,0.0,0.03314393939393939,0.04228571428571429,0.04015056461731493,0.02727272727272727,0.0,0.0,0.04728132387706856,0.0,0.4740740740740741
Karma,0.1464487743557511,0.0,0.10795454545454546,0.08,0.0903387703889586,0.10519480519480519,0.06515151515151515,0.11904761904761904,0.13238770685579196,0.07654320987654321,0.5111111111111111
Morgana,0.03834066624764299,0.05092592592592592,0.0,0.053714285714285714,0.033877038895859475,0.06363636363636363,0.04696969696969697,0.0,0.037825059101654845,0.0,0.5281385281385281
Nami,0.036455059710873663,0.05185185185185185,0.061553030303030304,0.04228571428571429,0.028858218318695106,0.0,0.0,0.03463203463203463,0.0,0.04938271604938271,0.5390070921985816
Nautilus,0.07668133249528598,0.075,0.06818181818181818,0.06971428571428571,0.07528230865746549,0.0,0.07272727272727272,0.10606060606060606,0.0425531914893617,0.05185185185185185,0.4974025974025974
Pyke,0.10559396605908233,0.06666666666666667,0.0634469696969697,0.08914285714285715,0.0,0.07792207792207792,0.09090909090909091,0.05844155844155844,0.054373522458628844,0.07901234567901234,0.4880803011292346
Rakan,0.06411062225015714,0.03981481481481482,0.05776515151515151,0.07428571428571429,0.07528230865746549,0.06233766233766234,0.0,0.0670995670995671,0.0425531914893617,0.04691358024691358,0.5015151515151515
Tahm Kench,0.03268384663733501,0.0,0.0,0.0,0.0,0.0,0.03787878787878788,0.0,0.0,0.0,0.5082644628099173
Thresh,0.08359522313010685,0.06481481481481481,0.0634469696969697,0.0,0.09786700125470514,0.07922077922077922,0.09848484848484848,0.10173160173160173,0.08747044917257683,0.09135802469135802,0.5188571428571429
Yuumi,0.11439346323067254,0.10555555555555556,0.0,0.07657142857142857,0.08406524466750313,0.09350649350649351,0.09242424242424242,0.06926406926406926,0.1536643026004728,0.08641975308641975,0.4933712121212121
Lulu,0.0,0.03333333333333333,0.0,0.04228571428571429,0.0,0.0,0.0,0.0,0.0,0.04938271604938271,0.4591194968553459
Lux,0.0,0.21574074074074073,0.17234848484848486,0.152,0.2107904642409034,0.15844155844155844,0.15454545454545454,0.13203463203463203,0.13711583924349882,0.17530864197530865,0.48020113136392206
Sona,0.0,0.03888888888888889,0.054924242424242424,0.0,0.0,0.0,0.03787878787878788,0.032467532467532464,0.04018912529550828,0.03209876543209877,0.5313351498637602
Alistar,0.0,0.0,0.05965909090909091,0.0,0.025094102885821833,0.03636363636363636,0.0,0.030303030303030304,0.0,0.0,0.5115511551155115
Braum,0.0,0.0,0.0,0.0,0.0,0.04025974025974026,0.02878787878787879,0.0,0.0,0.0,0.4926829268292683
