,Aatrox,Irelia,Camille,Mordekaiser,Jax,Riven,Renekton,Fiora,Gangplank,Neeko,Win_rate
Camille,0.08301404853128991,0.06938775510204082,0.0,0.044293015332197615,0.07927927927927927,0.0712979890310786,0.06175771971496437,0.07435897435897436,0.056022408963585436,0.06489675516224189,0.5153284671532846
Fiora,0.08556832694763729,0.055782312925170066,0.042335766423357665,0.04088586030664395,0.032432432432432434,0.03290676416819013,0.0,0.0,0.0,0.035398230088495575,0.4717948717948718
Irelia,0.08045977011494253,0.0,0.07445255474452554,0.05792163543441227,0.07207207207207207,0.06398537477148081,0.1021377672209026,0.10512820512820513,0.0700280112044818,0.058997050147492625,0.5306122448979592
Jax,0.06641123882503193,0.05442176870748299,0.06423357664233577,0.06132879045996593,0.0,0.05301645338208409,0.07838479809976247,0.046153846153846156,0.07563025210084033,0.0,0.4936936936936937
Jayce,0.031928480204342274,0.0326530612244898,0.0,0.0,0.03063063063063063,0.0,0.028503562945368172,0.0,0.0,0.05309734513274336,0.5125786163522013
Mordekaiser,0.05363984674329502,0.04625850340136054,0.03795620437956204,0.0,0.06486486486486487,0.054844606946983544,0.057007125890736345,0.06153846153846154,0.06722689075630252,0.07079646017699115,0.48211243611584326
Pyke,0.034482758620689655,0.0,0.035036496350364967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.503731343283582
Renekton,0.038314176245210725,0.058503401360544216,0.03795620437956204,0.04088586030664395,0.05945945945945946,0.03290676416819013,0.0,0.0,0.03081232492997199,0.04424778761061947,0.5463182897862233
Riven,0.038314176245210725,0.047619047619047616,0.05693430656934306,0.05110732538330494,0.05225225225225225,0.0,0.04275534441805225,0.046153846153846156,0.058823529411764705,0.035398230088495575,0.489945155393053
Sylas,0.035759897828863345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556
Aatrox,0.0,0.08571428571428572,0.0948905109489051,0.07155025553662692,0.0936936936936937,0.054844606946983544,0.07125890736342043,0.1717948717948718,0.058823529411764705,0.0471976401179941,0.5070242656449553
Gangplank,0.0,0.034013605442176874,0.0,0.04088586030664395,0.04864864864864865,0.038391224862888484,0.0,0.0,0.0,0.0,0.5070028011204482
Ryze,0.0,0.036734693877551024,0.042335766423357665,0.0,0.0,0.0,0.030878859857482184,0.02564102564102564,0.03081232492997199,0.0,0.4471299093655589
Neeko,0.0,0.0,0.032116788321167884,0.04088586030664395,0.0,0.0,0.035629453681710214,0.03076923076923077,0.0,0.0,0.5339233038348082
Darius,0.0,0.0,0.0,0.054514480408858604,0.0,0.03656307129798903,0.0,0.0,0.028011204481792718,0.0,0.4664429530201342
Kennen,0.0,0.0,0.0,0.0,0.032432432432432434,0.0,0.030878859857482184,0.02564102564102564,0.0,0.038348082595870206,0.493006993006993
Karma,0.0,0.0,0.0,0.0,0.0,0.029250457038391225,0.0,0.0,0.0,0.04129793510324484,0.49310344827586206
Vladimir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03076923076923077,0.036414565826330535,0.0,0.4890282131661442
