,Lux,Karma,Yuumi,Thresh,Pyke,Nautilus,Rakan,Morgana,Nami,Janna
Janna,0.5492957746478874,0.3548387096774194,0.45714285714285713,0.3783783783783784,0.4375,0.3333333333333333,0.5263157894736842,0.46153846153846156,0.3,0.0
Karma,0.5150214592274678,0.0,0.4824561403508772,0.4714285714285714,0.6111111111111112,0.4444444444444444,0.5581395348837209,0.5454545454545454,0.42857142857142855,0.6451612903225806
Morgana,0.5737704918032787,0.45454545454545453,0.4375,0.5319148936170213,0.7037037037037037,0.4489795918367347,0.5483870967741935,0.0,0.5625,0.5384615384615384
Nami,0.5344827586206896,0.5714285714285714,0.5384615384615384,0.43243243243243246,0.5217391304347826,0.6111111111111112,0.7777777777777778,0.4375,0.0,0.7
Nautilus,0.48360655737704916,0.5555555555555556,0.4583333333333333,0.5737704918032787,0.45,0.0,0.5,0.5510204081632653,0.3888888888888889,0.6666666666666666
Pyke,0.5416666666666666,0.3888888888888889,0.47761194029850745,0.46153846153846156,0.0,0.55,0.4,0.2962962962962963,0.4782608695652174,0.5625
Rakan,0.5098039215686274,0.4418604651162791,0.5245901639344263,0.4461538461538462,0.6,0.5,0.0,0.45161290322580644,0.2222222222222222,0.47368421052631576
Tahm Kench,0.5576923076923077,0.43333333333333335,0.4666666666666667,0.5238095238095238,0.7333333333333333,0.5384615384615384,0.44,0.5,1.0,0.5714285714285714
Thresh,0.556390977443609,0.5285714285714286,0.5074626865671642,0.0,0.5384615384615384,0.4262295081967213,0.5538461538461539,0.46808510638297873,0.5675675675675675,0.6216216216216216
Yuumi,0.44505494505494503,0.5175438596491229,0.0,0.4925373134328358,0.5223880597014925,0.5416666666666666,0.47540983606557374,0.5625,0.46153846153846156,0.5428571428571428
Lulu,0.5121951219512195,0.5555555555555556,0.40625,0.5405405405405406,0.4444444444444444,0.3333333333333333,0.5,0.5,0.4166666666666667,0.25
Lux,0.0,0.48497854077253216,0.554945054945055,0.44360902255639095,0.4583333333333333,0.5163934426229508,0.49019607843137253,0.4262295081967213,0.46551724137931033,0.4507042253521127
Sona,0.5869565217391305,0.42857142857142855,0.603448275862069,0.3333333333333333,0.6,0.6111111111111112,0.4,0.4666666666666667,0.6470588235294118,0.38461538461538464
Alistar,0.5517241379310345,0.4583333333333333,0.5238095238095238,0.45,0.35,0.5,0.5294117647058824,0.42857142857142855,0.75,0.75
Braum,0.4444444444444444,0.625,0.5833333333333334,0.6470588235294118,0.2777777777777778,0.5806451612903226,0.5263157894736842,0.3333333333333333,0.3333333333333333,0.625
