,Aatrox,Irelia,Camille,Mordekaiser,Jax,Riven,Renekton,Fiora,Gangplank,Neeko
Camille,0.5538461538461539,0.45098039215686275,0.0,0.6153846153846154,0.5454545454545454,0.4358974358974359,0.6923076923076923,0.3793103448275862,0.55,0.18181818181818182
Fiora,0.4626865671641791,0.3902439024390244,0.6206896551724138,0.5416666666666666,0.4444444444444444,0.5,0.42857142857142855,0.0,0.2857142857142857,0.4166666666666667
Irelia,0.5873015873015873,0.0,0.5490196078431373,0.5,0.575,0.42857142857142855,0.3953488372093023,0.6097560975609756,0.56,0.6
Jax,0.4807692307692308,0.425,0.45454545454545453,0.5555555555555556,0.0,0.6896551724137931,0.30303030303030304,0.5555555555555556,0.4444444444444444,0.7272727272727273
Jayce,0.48,0.4166666666666667,0.6666666666666666,0.36363636363636365,0.5294117647058824,0.5,0.4166666666666667,0.5714285714285714,0.5,0.6111111111111112
Mordekaiser,0.42857142857142855,0.5,0.38461538461538464,0.0,0.4444444444444444,0.4,0.4166666666666667,0.4583333333333333,0.6666666666666666,0.4166666666666667
Pyke,0.4444444444444444,0.35294117647058826,0.375,0.6,0.25,0.36363636363636365,0.3333333333333333,0.2,0.4444444444444444,0.5454545454545454
Renekton,0.5,0.6046511627906976,0.3076923076923077,0.5833333333333334,0.696969696969697,0.6666666666666666,0.0,0.5714285714285714,0.45454545454545453,0.6666666666666666
Riven,0.5,0.5714285714285714,0.5641025641025641,0.6,0.3103448275862069,0.0,0.3333333333333333,0.5,0.42857142857142855,0.5833333333333334
Sylas,0.4642857142857143,0.45,0.7142857142857143,0.5,0.5555555555555556,0.5555555555555556,0.6363636363636364,0.7142857142857143,0.8333333333333334,0.7142857142857143
Aatrox,0.0,0.4126984126984127,0.4461538461538462,0.5714285714285714,0.5192307692307693,0.5,0.5,0.5373134328358209,0.5714285714285714,0.5
Gangplank,0.42857142857142855,0.44,0.45,0.3333333333333333,0.5555555555555556,0.5714285714285714,0.5454545454545454,0.7142857142857143,0.0,0.3333333333333333
Ryze,0.23809523809523808,0.3333333333333333,0.4482758620689655,0.5333333333333333,0.5,0.35714285714285715,0.3076923076923077,0.8,0.45454545454545453,0.5
Neeko,0.5,0.4,0.8181818181818182,0.5833333333333334,0.2727272727272727,0.4166666666666667,0.3333333333333333,0.5833333333333334,0.6666666666666666,0.0
Darius,0.4166666666666667,0.4,0.6363636363636364,0.5625,0.4666666666666667,0.7,0.5,0.5,0.2,0.4
Kennen,0.4583333333333333,0.36363636363636365,0.5,0.6666666666666666,0.3888888888888889,0.6923076923076923,0.3076923076923077,0.6,0.75,0.6153846153846154
Karma,0.47368421052631576,0.5416666666666666,0.375,0.5882352941176471,0.8333333333333334,0.5,0.45454545454545453,0.3333333333333333,0.875,0.42857142857142855
Vladimir,0.6666666666666666,0.47619047619047616,0.3157894736842105,0.6521739130434783,0.4,0.42857142857142855,0.75,0.5,0.46153846153846156,0.2
